SMILES,Hit
CC(=O)Oc1ccccc1C(=O)Oc1ccc(/C=N/NC(=O)c2ccccc2[N+](=O)[O-])cc1,0
COc1cc(C=NNC(=O)CNc2ccc(I)cc2)ccc1O,0
CC(=O)Nc1ccc(C(=O)NN=C(C)CC(=O)Nc2cc(C)cc(C)c2)cc1,0
CSc1ccc(Cl)c(C(=O)Nc2ccc(NC(C)=O)cc2)c1,0
Clc1cccc(Nc2nc(Nc3cccc(Cl)c3)nc(Nc3cccc(Br)c3)n2)c1,0
O=C(N/N=C/c1ccc(Cl)cc1Cl)c1cccnc1,0
O=C(NN=Cc1ccc(O)cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1
CCCCCCCCCCOc1ccc(NC(=O)Nc2cccc(F)c2)cc1,0
O=C(CC(=O)Nc1ccc(Cl)c(Cl)c1)N/N=C/c1cccc2ccccc12,0
C=CCOc1ccc(/C=N/NC(=O)CC(=O)Nc2ccc(Cl)c(Cl)c2)cc1OCC,0
Cc1ccc(NC(=O)C(=O)NCCc2ccccc2Cl)c(C)c1,0
COc1cc(C(=O)NCc2cccc3ccccc23)cc(OC)c1OC,0
O=C(NCc1ccc2c(c1)OCO2)C(=O)Nc1ccccc1,0
CCc1ccc(OCC(=O)Nc2c(C)cc(Br)cc2C)cc1,0
CCOc1ccccc1NC(=O)C(=O)N/N=C/c1c(Cl)cccc1Cl,0
COc1ccc(Br)cc1C1c2c(c3ccccc3oc2=O)OC(=N)C1C#N,0
Cc1ccc(C(C)C)c(OCC(=O)N/N=C/c2cc(Br)cc(Br)c2OC(=O)c2ccco2)c1,0
Clc1ccc(/C=N/Nc2nc3nonc3nc2Nc2ccccc2Cl)c(Cl)c1,0
Cc1ccc(NC(=O)C(=O)N/N=C/c2ccc(I)cc2)c(C)c1,0
CCc1ccccc1NC(=O)CC(C)=NNC(=O)COc1cc(C)c(Br)cc1Br,0
CCCCOc1ccc(C(=O)NCc2cccc3ccccc23)cc1,0
COC(=O)c1ccc(/C=C2/SC(=O)N(CNc3ccc(Cl)c(Cl)c3)C2=O)cc1,1
CC(C)N1CC=C2C(C#N)C(=N)C(C#N)(C#N)[C@@H](c3ccccc3)[C@@H]2C1,0
O=C(CSCc1ccccc1Cl)N/N=C/c1ccc(OCc2ccccc2)cc1,0
Cc1ccc(OCc2ccc(C(=O)N/N=C/c3ccc(Cl)cc3)cc2)cc1,0
CCOc1ccccc1NC(=O)C(=O)N/N=C/c1cccc(OC)c1,0
COc1ccc(S(=O)(=O)Oc2ccc(/C=N/NC(=O)c3ccc(O)cc3)cc2)cc1,0
C/C(=N\NC(=O)C1CC1c1ccccc1)c1ccc(-c2ccccc2)cc1,0
Oc1ccccc1C=Nc1ccc(OCC(F)(F)C(F)F)cc1,0
N#Cc1cc(Cc2ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)c(C#N)c2)ccc1NC(=O)c1ccc([N+](=O)[O-])cc1,0
O=C1CC2c3ccccc3C1c1c2c(O)n(-c2ccc([N+](=O)[O-])cc2)c1O,0
CCOC(=O)Nc1ccc(Br)cn1,0
CC(=O)Oc1ccc(/C=N/NC(=O)CSCc2ccccc2Br)cc1,0
C/C(=N\NC(=O)Cc1cccc2ccccc12)c1ccc2ccccc2c1,0
C=CCOc1ccc(C2C(C(=O)OCC)=C(C)OC(=N)C2C#N)cc1,0
COc1cc(C=NNC(=O)COc2ccc(Cl)cc2Cl)cc([N+](=O)[O-])c1O,0
O=C(N/N=C/c1ccc(Cl)cc1Cl)c1cncc(Br)c1,0
CCCOc1ccc(/C=N/NC(=O)C(CSCc2ccccc2)NC(=O)c2ccc([N+](=O)[O-])cc2)cc1,0
CCCCCCCCCCOc1ccc(NC(=O)Nc2cccc(C)c2C)cc1,0
Oc1cc2ccccc2cc1-c1nc2cc(N=Cc3cc(Br)cc(Br)c3O)ccc2o1,0
CSc1[nH]c(-c2ccccc2)nc(=S)c1C(C)=O,0
Cc1cc(C)n(-c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])n1,1
O=C(CNC(=O)c1ccco1)NN=Cc1cc(Cl)ccc1O,0
COc1cccc(CC(C)C(=O)N/N=C/c2cccc([N+](=O)[O-])c2)c1,0
COc1cc(/C=N/NC(=O)CNC(=O)c2cccc(F)c2)cc(OC)c1OC,0
O=C(CNC(=O)c1cccc(F)c1)NN=Cc1cc(Cl)ccc1O,0
Cc1ccc(OCc2ccc(C(=O)N/N=C\c3cccc([N+](=O)[O-])c3)cc2)cc1,0
N#Cc1c(Cl)nc(N/N=C\c2ccccc2C=O)c(Cl)c1Cl,0
COc1ccc(C)cc1NC(=O)c1ccc([N+](=O)[O-])cc1Cl,0
CCCCc1ccc(NC(=O)C(=O)NN=Cc2ccc(C(=O)OC)cc2)cc1,0
CCOc1ccc(/N=C/C23c4ccccc4C(c4ccccc42)c2c3c(O)n(-c3ccc(OCC)cc3)c2O)cc1,0
